Town name,Used
Aberdeen,
Alameda,
Allan,
Arborfield,
Arcola,
Asquith,
Assiniboia,
Balcarres,
Balgonie,
Battleford,
Bengough,
Bienfait,
Big River,
Biggar,
Birch Hills,
Blaine Lake,
Bredenbury,
Broadview,
Bruno,
Burstall,
Cabri,
Canora,
Carlyle,
Carnduff,
Carrot River,
Central Butte,
Choiceland,
Churchbridge,
Colonsay,
Coronach,
Craik,
Cudworth,
Cupar,
Cut Knife,
Dalmeny,
Davidson,
Delisle,
Duck Lake,TRUE
Dundurn,
Eastend,
Eatonia,
Elrose,
Esterhazy,
Eston,
Fleming,
Foam Lake,
Fort Qu'Appelle,
Francis,
Govan,
Grand Coulee,
Gravelbourg,
Grenfell,
Gull Lake,
Hafford,
Hague,
Hanley,
Hepburn,
Herbert,
Hudson Bay,
Imperial,
Indian Head,
Ituna,
Kamsack,
Kelvington,
Kerrobert,
Kindersley,
Kinistino,
Kipling,
Kyle,
Lafleche,
Lampman,
Langenburg,
Langham,
Lanigan,
Lashburn,
Leader,
Lemberg,
Leroy,
Lumsden,
Luseland,
Macklin,
Maidstone,TRUE
Maple Creek,
Marshall,
Midale,
Milestone,
Moosomin,
Morse,
Mossbank,
Naicam,
Nipawin,
Nokomis,
Norquay,
Ogema,
Osler,
Outlook,
Oxbow,
Pense,
Pilot Butte,
Ponteix,
Porcupine Plain,
Preeceville,
Qu'Appelle,
Radisson,
Radville,
Raymore,
Redvers,
Regina Beach,
Rocanville,
Rockglen,
Rose Valley,
Rosetown,
Rosthern,
Rouleau,
Saltcoats,
Scott,
Shaunavon,
Shellbrook,
Sintaluta,
Southey,
Spiritwood,
Springside,
St. Brieux,
St. Walburg,
Star City,
Stoughton,
Strasbourg,
Sturgis,
Tisdale,True
Turtleford,True
Unity,
Vonda,
Wadena,
Wakaw,
Waldheim,
Wapella,
Watrous,
Watson,
Wawota,
White City,
Whitewood,
Wilkie,
Willow Bunch,
Wolseley,
Wynyard,
Yellow Grass,
Zealandia,
